frame,xmin,xmax,ymin,ymax,class_id,occl
set00_V000_1575.png,500,519,156,206,1,0
set00_V000_372.png,515,538,152,204,1,0
set00_V000_382.png,542,563,153,205,1,0
set00_V000_1592.png,535,556,154,211,1,0
set00_V000_1720.png,614,635,155,207,1,0
set00_V000_369.png,508,531,152,204,1,0
set00_V000_397.png,600,619,155,206,1,0
set00_V000_736.png,545,568,154,214,1,0
set00_V000_416.png,542,566,152,202,1,0
set00_V000_1721.png,618,638,155,207,1,0
set00_V000_431.png,596,619,152,208,1,0
set00_V000_423.png,564,590,151,204,1,0
set00_V000_1712.png,585,610,152,202,1,0
set00_V000_1597.png,548,569,155,213,1,0
set00_V000_1581.png,511,531,154,207,1,0
set00_V000_545.png,606,633,156,206,1,0
set00_V000_367.png,504,528,152,204,1,0
set00_V000_1579.png,507,527,155,208,1,0
set00_V000_374.png,519,541,152,204,1,0
set00_V000_284.png,531,552,154,213,1,0
set00_V000_284.png,578,602,159,211,1,0
set00_V000_539.png,588,615,154,204,1,0
set00_V000_1604.png,569,590,157,216,1,0
set00_V000_745.png,567,591,153,218,1,0
set00_V000_714.png,502,525,155,207,1,0
set00_V000_1578.png,505,525,155,207,1,0
set00_V000_1577.png,503,522,155,207,1,0
set00_V000_375.png,522,544,153,205,1,0
set00_V000_756.png,595,622,151,222,1,0
set00_V000_1602.png,563,584,157,216,1,0
set00_V000_472.png,608,631,133,184,1,0
set00_V000_288.png,542,565,154,214,1,0
set00_V000_288.png,594,618,159,212,1,0
set00_V000_281.png,523,543,155,212,1,0
set00_V000_281.png,568,592,158,209,1,0
set00_V000_427.png,582,607,152,207,1,0
set00_V000_743.png,562,586,153,217,1,0
set00_V000_383.png,546,566,154,206,1,0
set00_V000_1711.png,582,607,152,202,1,0
set00_V000_708.png,491,512,155,205,1,0
set00_V000_424.png,568,595,151,205,1,0
set00_V000_419.png,552,577,152,203,1,0
set00_V000_1611.png,594,617,157,221,1,0
set00_V000_381.png,539,560,153,205,1,0
set00_V000_732.png,537,560,154,213,1,0
set00_V000_364.png,499,523,151,203,1,0
set00_V000_1718.png,606,628,154,205,1,0
set00_V000_1607.png,582,605,156,221,1,0
set00_V000_716.png,506,529,155,208,1,0
set00_V000_710.png,494,516,155,206,1,0
set00_V000_727.png,527,550,154,211,1,0
set00_V000_387.png,560,580,154,205,1,0
set00_V000_725.png,523,546,154,210,1,0
set00_V000_711.png,496,519,155,206,1,0
set00_V000_720.png,514,537,154,208,1,0
set00_V000_544.png,603,630,156,206,1,0
set00_V000_379.png,533,554,153,205,1,0
set00_V000_709.png,493,515,155,205,1,0
set00_V000_739.png,552,576,153,215,1,0
set00_V000_473.png,611,633,133,184,1,0
set00_V000_275.png,507,525,158,208,1,0
set00_V000_437.png,625,639,152,209,1,0
set00_V000_430.png,591,614,152,208,1,0
set00_V000_718.png,510,533,154,208,1,0
set00_V000_400.png,612,631,155,206,1,0
set00_V000_722.png,517,540,154,209,1,0
set00_V000_734.png,541,564,154,213,1,0
set00_V000_1582.png,512,532,154,208,1,0
set00_V000_1605.png,574,596,157,219,1,0
set00_V000_282.png,525,545,155,213,1,0
set00_V000_282.png,571,595,159,211,1,0
set00_V000_729.png,531,554,154,212,1,0
set00_V000_742.png,559,583,153,217,1,0
set00_V000_1606.png,578,601,156,220,1,0
set00_V000_748.png,574,599,152,219,1,0
set00_V000_421.png,558,584,151,203,1,0
set00_V000_717.png,508,531,155,208,1,0
set00_V000_401.png,617,636,155,206,1,0
set00_V000_287.png,539,561,154,214,1,0
set00_V000_287.png,590,614,159,211,1,0
set00_V000_752.png,584,610,151,220,1,0
set00_V000_1591.png,532,553,154,211,1,0
set00_V000_1574.png,499,518,156,206,1,0
set00_V000_1603.png,566,587,157,216,1,0
set00_V000_399.png,608,627,155,206,1,0
set00_V000_735.png,543,566,154,214,1,0
set00_V000_761.png,611,637,154,226,1,0
set00_V000_276.png,510,529,157,208,1,0
set00_V000_276.png,550,573,158,208,1,0
set00_V000_753.png,587,613,151,221,1,0
set00_V000_542.png,597,624,155,205,1,0
set00_V000_278.png,515,534,156,210,1,0
set00_V000_278.png,557,581,158,208,1,0
set00_V000_425.png,573,599,151,205,1,0
set00_V000_371.png,512,535,152,204,1,0
set00_V000_1717.png,602,625,153,204,1,0
set00_V000_541.png,594,621,155,205,1,0
set00_V000_1594.png,540,561,154,212,1,0
set00_V000_373.png,517,539,152,204,1,0
set00_V000_428.png,585,609,152,207,1,0
set00_V000_395.png,592,611,155,206,1,0
set00_V000_543.png,600,627,155,205,1,0
set00_V000_292.png,614,636,159,211,1,0
set00_V000_1593.png,537,558,154,212,1,0
set00_V000_377.png,527,549,153,205,1,0
set00_V000_285.png,533,554,154,213,1,0
set00_V000_285.png,582,606,159,211,1,0
set00_V000_746.png,569,594,153,219,1,0
set00_V000_362.png,496,518,153,204,1,0
set00_V000_1595.png,543,564,155,213,1,0
set00_V000_737.png,547,570,154,215,1,0
set00_V000_290.png,548,572,154,214,1,0
